Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1769561101,2026-01-27T16:45:01,24,76,yes,19
2,1769561107,2026-01-27T16:45:07,24,76,yes,23
3,1769561114,2026-01-27T16:45:14,24,76,yes,34
4,1769561131,2026-01-27T16:45:31,24,76,yes,10
5,1769561133,2026-01-27T16:45:33,24,76,yes,55
6,1769561135,2026-01-27T16:45:35,24,76,yes,3
7,1769561183,2026-01-27T16:46:23,24,76,yes,11
8,1769561202,2026-01-27T16:46:42,24,76,yes,5
9,1769561203,2026-01-27T16:46:43,24,76,yes,100
10,1769561213,2026-01-27T16:46:53,24,76,yes,3
11,1769561214,2026-01-27T16:46:54,24,76,yes,11
12,1769561219,2026-01-27T16:46:59,24,76,yes,4
13,1769561234,2026-01-27T16:47:14,24,76,yes,11
14,1769561239,2026-01-27T16:47:19,24,76,yes,5
15,1769561240,2026-01-27T16:47:20,24,76,yes,2
16,1769561260,2026-01-27T16:47:40,24,76,yes,39
17,1769561282,2026-01-27T16:48:02,24,76,yes,115
19,1769561300,2026-01-27T16:48:20,24,76,yes,329
20,1769561303,2026-01-27T16:48:23,24,76,yes,277
21,1769561317,2026-01-27T16:48:37,24,76,yes,18
22,1769561336,2026-01-27T16:48:56,24,76,yes,74
23,1769561348,2026-01-27T16:49:08,24,76,yes,50
24,1769561357,2026-01-27T16:49:17,24,76,yes,5
26,1769561361,2026-01-27T16:49:21,24,76,yes,5
27,1769561376,2026-01-27T16:49:36,24,76,yes,3
28,1769561391,2026-01-27T16:49:51,24,76,yes,3
29,1769561402,2026-01-27T16:50:02,24,76,yes,100
30,1769561414,2026-01-27T16:50:14,24,76,yes,19
31,1769561420,2026-01-27T16:50:20,24,76,yes,19
32,1769561437,2026-01-27T16:50:37,24,76,yes,66
33,1769561439,2026-01-27T16:50:39,24,76,yes,15
34,1769561440,2026-01-27T16:50:40,24,76,yes,39
35,1769561442,2026-01-27T16:50:42,24,76,yes,11
36,1769561444,2026-01-27T16:50:44,24,76,yes,123
37,1769561468,2026-01-27T16:51:08,23,77,no,20
38,1769561505,2026-01-27T16:51:45,24,76,yes,192
39,1769561511,2026-01-27T16:51:51,24,76,yes,22
40,1769561515,2026-01-27T16:51:55,23,77,no,200
41,1769561522,2026-01-27T16:52:02,24,76,yes,11
42,1769561529,2026-01-27T16:52:09,24,76,yes,4
43,1769561534,2026-01-27T16:52:14,24,76,yes,19
44,1769561535,2026-01-27T16:52:15,24,76,yes,19
46,1769561551,2026-01-27T16:52:31,24,76,yes,1
47,1769561566,2026-01-27T16:52:46,24,76,yes,1
48,1769561613,2026-01-27T16:53:33,24,76,yes,21
49,1769561618,2026-01-27T16:53:38,24,76,yes,55
50,1769561673,2026-01-27T16:54:33,24,76,yes,9
51,1769561682,2026-01-27T16:54:42,24,76,yes,100
52,1769561685,2026-01-27T16:54:45,24,76,yes,18
53,1769561697,2026-01-27T16:54:57,24,76,yes,47
54,1769561699,2026-01-27T16:54:59,24,76,yes,76
59,1769561723,2026-01-27T16:55:23,22,78,no,12173
60,1769561729,2026-01-27T16:55:29,24,76,yes,38
61,1769561731,2026-01-27T16:55:31,24,76,yes,10
62,1769561733,2026-01-27T16:55:33,24,76,yes,7
63,1769561747,2026-01-27T16:55:47,24,76,yes,50
64,1769561749,2026-01-27T16:55:49,24,76,yes,39
65,1769561755,2026-01-27T16:55:55,24,76,yes,59
66,1769561760,2026-01-27T16:56:00,24,76,yes,19
68,1769561762,2026-01-27T16:56:02,24,76,yes,39
69,1769561771,2026-01-27T16:56:11,24,76,yes,7
70,1769561809,2026-01-27T16:56:49,24,76,yes,74
71,1769561812,2026-01-27T16:56:52,24,76,yes,11
72,1769561824,2026-01-27T16:57:04,24,76,yes,3
73,1769561853,2026-01-27T16:57:33,24,76,yes,25
74,1769561862,2026-01-27T16:57:42,24,76,yes,769
75,1769561879,2026-01-27T16:57:59,24,76,yes,11
76,1769561889,2026-01-27T16:58:09,24,76,yes,500
77,1769561901,2026-01-27T16:58:21,24,76,yes,29
78,1769561905,2026-01-27T16:58:25,24,76,yes,55
79,1769561916,2026-01-27T16:58:36,24,76,yes,38
80,1769561917,2026-01-27T16:58:37,24,76,yes,5
