Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1769559337,2026-01-27T16:15:37,87,13,no,4
2,1769559342,2026-01-27T16:15:42,88,12,yes,1
3,1769559344,2026-01-27T16:15:44,88,12,yes,15
4,1769559357,2026-01-27T16:15:57,88,12,yes,1
5,1769559385,2026-01-27T16:16:25,88,12,yes,11
6,1769559391,2026-01-27T16:16:31,88,12,yes,1
7,1769559393,2026-01-27T16:16:33,88,12,yes,9
8,1769559404,2026-01-27T16:16:44,88,12,yes,1
9,1769559410,2026-01-27T16:16:50,88,12,yes,1111
10,1769559411,2026-01-27T16:16:51,88,12,yes,111
11,1769559412,2026-01-27T16:16:52,88,12,yes,5
12,1769559433,2026-01-27T16:17:13,88,12,yes,55
13,1769559437,2026-01-27T16:17:17,87,13,no,13
14,1769559437,2026-01-27T16:17:17,87,13,no,10
15,1769559441,2026-01-27T16:17:21,88,12,yes,56
16,1769559444,2026-01-27T16:17:24,88,12,yes,28
17,1769559448,2026-01-27T16:17:28,88,12,yes,20
18,1769559457,2026-01-27T16:17:37,87,13,no,10
19,1769559457,2026-01-27T16:17:37,87,13,no,20
20,1769559457,2026-01-27T16:17:37,87,13,yes,1
21,1769559495,2026-01-27T16:18:15,87,13,yes,9
22,1769559528,2026-01-27T16:18:48,86,14,no,19
26,1769559541,2026-01-27T16:19:01,87,13,yes,11
23,1769559540,2026-01-27T16:19:00,87,13,yes,4
24,1769559540,2026-01-27T16:19:00,87,13,yes,12
27,1769559544,2026-01-27T16:19:04,87,13,yes,56
28,1769559545,2026-01-27T16:19:05,87,13,yes,1
29,1769559552,2026-01-27T16:19:12,87,13,yes,13
30,1769559591,2026-01-27T16:19:51,87,13,yes,56
31,1769559605,2026-01-27T16:20:05,87,13,yes,25
32,1769559606,2026-01-27T16:20:06,87,13,yes,56
33,1769559628,2026-01-27T16:20:28,87,13,yes,14
34,1769559642,2026-01-27T16:20:42,87,13,yes,85
35,1769559646,2026-01-27T16:20:46,87,13,yes,284
36,1769559653,2026-01-27T16:20:53,87,13,yes,306
37,1769559654,2026-01-27T16:20:54,87,13,yes,375
38,1769559655,2026-01-27T16:20:55,87,13,yes,5
39,1769559658,2026-01-27T16:20:58,87,13,yes,12
40,1769559662,2026-01-27T16:21:02,87,13,yes,11
41,1769559713,2026-01-27T16:21:53,87,13,yes,77
42,1769559719,2026-01-27T16:21:59,87,13,yes,1
44,1769559727,2026-01-27T16:22:07,87,13,yes,2232
45,1769559729,2026-01-27T16:22:09,87,13,yes,300
46,1769559735,2026-01-27T16:22:15,87,13,yes,5
49,1769559738,2026-01-27T16:22:18,87,13,yes,100
50,1769559749,2026-01-27T16:22:29,87,13,yes,1
51,1769559778,2026-01-27T16:22:58,87,13,yes,17
52,1769559781,2026-01-27T16:23:01,87,13,yes,1
53,1769559782,2026-01-27T16:23:02,87,13,yes,2
54,1769559797,2026-01-27T16:23:17,87,13,yes,3
55,1769559812,2026-01-27T16:23:32,86,14,no,3
56,1769559813,2026-01-27T16:23:33,87,13,yes,5
57,1769559815,2026-01-27T16:23:35,87,13,yes,100
58,1769559820,2026-01-27T16:23:40,87,13,yes,18
59,1769559844,2026-01-27T16:24:04,87,13,yes,22
60,1769559846,2026-01-27T16:24:06,87,13,yes,74
61,1769559864,2026-01-27T16:24:24,87,13,yes,11
62,1769559865,2026-01-27T16:24:25,87,13,yes,33
63,1769559867,2026-01-27T16:24:27,87,13,yes,2
64,1769559902,2026-01-27T16:25:02,87,13,yes,4
65,1769559904,2026-01-27T16:25:04,87,13,yes,5
