Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772396103,2026-03-01T12:15:03,57,43,yes,8
2,1772396109,2026-03-01T12:15:09,57,43,yes,169
3,1772396113,2026-03-01T12:15:13,57,43,yes,36
4,1772396128,2026-03-01T12:15:28,57,43,yes,25
5,1772396133,2026-03-01T12:15:33,57,43,yes,166
6,1772396134,2026-03-01T12:15:34,57,43,yes,8
7,1772396139,2026-03-01T12:15:39,57,43,yes,265
8,1772396143,2026-03-01T12:15:43,57,43,yes,1
9,1772396146,2026-03-01T12:15:46,57,43,yes,10
10,1772396147,2026-03-01T12:15:47,57,43,yes,61
11,1772396153,2026-03-01T12:15:53,57,43,yes,8
12,1772396157,2026-03-01T12:15:57,57,43,yes,17
13,1772396158,2026-03-01T12:15:58,57,43,yes,34
14,1772396159,2026-03-01T12:15:59,57,43,yes,30
15,1772396164,2026-03-01T12:16:04,57,43,yes,8
16,1772396167,2026-03-01T12:16:07,57,43,yes,1
17,1772396182,2026-03-01T12:16:22,57,43,yes,10
18,1772396183,2026-03-01T12:16:23,57,43,yes,198
19,1772396184,2026-03-01T12:16:24,57,43,yes,17
20,1772396184,2026-03-01T12:16:24,57,43,yes,25
21,1772396187,2026-03-01T12:16:27,57,43,yes,85
22,1772396189,2026-03-01T12:16:29,57,43,yes,84
23,1772396198,2026-03-01T12:16:38,57,43,yes,84
24,1772396199,2026-03-01T12:16:39,57,43,yes,7
25,1772396203,2026-03-01T12:16:43,57,43,yes,279
26,1772396214,2026-03-01T12:16:54,57,43,yes,62
27,1772396215,2026-03-01T12:16:55,57,43,yes,25
28,1772396219,2026-03-01T12:16:59,57,43,yes,33
29,1772396230,2026-03-01T12:17:10,57,43,yes,59
30,1772396232,2026-03-01T12:17:12,57,43,yes,17
31,1772396234,2026-03-01T12:17:14,57,43,yes,254
32,1772396239,2026-03-01T12:17:19,57,43,yes,17
33,1772396248,2026-03-01T12:17:28,57,43,yes,254
34,1772396249,2026-03-01T12:17:29,56,44,no,10
35,1772396249,2026-03-01T12:17:29,56,44,no,50
36,1772396249,2026-03-01T12:17:29,56,44,no,10
37,1772396249,2026-03-01T12:17:29,56,44,no,10
38,1772396249,2026-03-01T12:17:29,56,44,no,100
39,1772396249,2026-03-01T12:17:29,56,44,no,30
40,1772396249,2026-03-01T12:17:29,56,44,no,10000
41,1772396249,2026-03-01T12:17:29,56,44,no,66
42,1772396260,2026-03-01T12:17:40,55,45,no,12
43,1772396260,2026-03-01T12:17:40,56,44,yes,69
44,1772396263,2026-03-01T12:17:43,56,44,yes,17
45,1772396270,2026-03-01T12:17:50,56,44,yes,22
46,1772396278,2026-03-01T12:17:58,56,44,yes,10
47,1772396281,2026-03-01T12:18:01,56,44,yes,34
48,1772396286,2026-03-01T12:18:06,56,44,yes,10
49,1772396286,2026-03-01T12:18:06,56,44,yes,5
50,1772396293,2026-03-01T12:18:13,56,44,yes,8
51,1772396306,2026-03-01T12:18:26,56,44,yes,32
52,1772396312,2026-03-01T12:18:32,56,44,yes,135
53,1772396321,2026-03-01T12:18:41,56,44,yes,11
54,1772396326,2026-03-01T12:18:46,56,44,yes,28
55,1772396337,2026-03-01T12:18:57,56,44,yes,43
56,1772396344,2026-03-01T12:19:04,56,44,yes,8
57,1772396347,2026-03-01T12:19:07,56,44,yes,9655
58,1772396351,2026-03-01T12:19:11,56,44,yes,17
59,1772396359,2026-03-01T12:19:19,56,44,yes,172
60,1772396361,2026-03-01T12:19:21,56,44,yes,259
61,1772396368,2026-03-01T12:19:28,56,44,yes,86
62,1772396372,2026-03-01T12:19:32,56,44,yes,172
63,1772396378,2026-03-01T12:19:38,56,44,yes,6
64,1772396382,2026-03-01T12:19:42,56,44,yes,5
65,1772396382,2026-03-01T12:19:42,56,44,yes,34
66,1772396383,2026-03-01T12:19:43,56,44,yes,25
67,1772396386,2026-03-01T12:19:46,56,44,yes,2610
68,1772396399,2026-03-01T12:19:59,56,44,yes,1
69,1772396404,2026-03-01T12:20:04,56,44,yes,43
70,1772396410,2026-03-01T12:20:10,56,44,yes,45
71,1772396410,2026-03-01T12:20:10,56,44,yes,27
72,1772396418,2026-03-01T12:20:18,55,45,no,25
73,1772396429,2026-03-01T12:20:29,56,44,yes,3
74,1772396429,2026-03-01T12:20:29,56,44,yes,259
75,1772396430,2026-03-01T12:20:30,56,44,yes,33
76,1772396431,2026-03-01T12:20:31,56,44,yes,174
77,1772396433,2026-03-01T12:20:33,56,44,yes,95
78,1772396442,2026-03-01T12:20:42,56,44,yes,8620
79,1772396442,2026-03-01T12:20:42,56,44,yes,6
80,1772396444,2026-03-01T12:20:44,56,44,yes,34
81,1772396445,2026-03-01T12:20:45,56,44,yes,520
82,1772396455,2026-03-01T12:20:55,56,44,yes,86
83,1772396455,2026-03-01T12:20:55,56,44,yes,258
84,1772396458,2026-03-01T12:20:58,56,44,yes,344
85,1772396463,2026-03-01T12:21:03,56,44,yes,60
86,1772396464,2026-03-01T12:21:04,56,44,yes,25
87,1772396468,2026-03-01T12:21:08,56,44,yes,173
88,1772396473,2026-03-01T12:21:13,56,44,yes,100
89,1772396473,2026-03-01T12:21:13,56,44,yes,17
90,1772396477,2026-03-01T12:21:17,56,44,yes,346
91,1772396484,2026-03-01T12:21:24,56,44,yes,5
92,1772396486,2026-03-01T12:21:26,56,44,yes,8
93,1772396490,2026-03-01T12:21:30,56,44,yes,86
94,1772396491,2026-03-01T12:21:31,56,44,yes,114
95,1772396492,2026-03-01T12:21:32,56,44,yes,100
96,1772396495,2026-03-01T12:21:35,56,44,yes,20
97,1772396497,2026-03-01T12:21:37,56,44,yes,11
98,1772396498,2026-03-01T12:21:38,56,44,yes,172
99,1772396502,2026-03-01T12:21:42,56,44,yes,517
100,1772396506,2026-03-01T12:21:46,56,44,yes,254
101,1772396513,2026-03-01T12:21:53,56,44,yes,10
102,1772396517,2026-03-01T12:21:57,56,44,yes,1550
103,1772396518,2026-03-01T12:21:58,56,44,yes,51
104,1772396521,2026-03-01T12:22:01,56,44,yes,517
105,1772396524,2026-03-01T12:22:04,56,44,yes,68
106,1772396525,2026-03-01T12:22:05,56,44,yes,70
107,1772396526,2026-03-01T12:22:06,56,44,yes,86
108,1772396527,2026-03-01T12:22:07,56,44,yes,11
109,1772396532,2026-03-01T12:22:12,56,44,yes,50
110,1772396535,2026-03-01T12:22:15,56,44,yes,8
111,1772396541,2026-03-01T12:22:21,56,44,yes,16
112,1772396551,2026-03-01T12:22:31,56,44,yes,137
113,1772396557,2026-03-01T12:22:37,56,44,yes,18
114,1772396559,2026-03-01T12:22:39,56,44,yes,34
115,1772396561,2026-03-01T12:22:41,56,44,yes,8
116,1772396562,2026-03-01T12:22:42,56,44,yes,34
117,1772396572,2026-03-01T12:22:52,56,44,yes,86
118,1772396578,2026-03-01T12:22:58,56,44,yes,12
119,1772396579,2026-03-01T12:22:59,56,44,yes,173
120,1772396579,2026-03-01T12:22:59,56,44,yes,100
121,1772396580,2026-03-01T12:23:00,56,44,yes,86
122,1772396582,2026-03-01T12:23:02,56,44,yes,13
123,1772396582,2026-03-01T12:23:02,56,44,yes,10
124,1772396584,2026-03-01T12:23:04,56,44,yes,13
125,1772396587,2026-03-01T12:23:07,56,44,yes,17
126,1772396587,2026-03-01T12:23:07,56,44,yes,10
127,1772396590,2026-03-01T12:23:10,56,44,yes,19
128,1772396592,2026-03-01T12:23:12,56,44,yes,33
129,1772396593,2026-03-01T12:23:13,56,44,yes,2241
130,1772396597,2026-03-01T12:23:17,56,44,yes,5
131,1772396598,2026-03-01T12:23:18,56,44,yes,3
132,1772396603,2026-03-01T12:23:23,56,44,yes,210
133,1772396604,2026-03-01T12:23:24,56,44,yes,379
134,1772396607,2026-03-01T12:23:27,56,44,yes,5
135,1772396613,2026-03-01T12:23:33,56,44,yes,8
136,1772396614,2026-03-01T12:23:34,56,44,yes,33
137,1772396622,2026-03-01T12:23:42,56,44,yes,129
138,1772396625,2026-03-01T12:23:45,56,44,yes,26
139,1772396626,2026-03-01T12:23:46,56,44,yes,17
140,1772396626,2026-03-01T12:23:46,56,44,yes,100
141,1772396627,2026-03-01T12:23:47,56,44,yes,25
142,1772396633,2026-03-01T12:23:53,56,44,yes,17
143,1772396634,2026-03-01T12:23:54,56,44,yes,862
144,1772396637,2026-03-01T12:23:57,56,44,yes,43
145,1772396641,2026-03-01T12:24:01,56,44,yes,259
146,1772396645,2026-03-01T12:24:05,56,44,yes,17
147,1772396660,2026-03-01T12:24:20,56,44,yes,4
148,1772396664,2026-03-01T12:24:24,56,44,yes,25
149,1772396665,2026-03-01T12:24:25,56,44,yes,97
150,1772396665,2026-03-01T12:24:25,56,44,yes,17
151,1772396667,2026-03-01T12:24:27,56,44,yes,172
152,1772396668,2026-03-01T12:24:28,56,44,yes,10
153,1772396669,2026-03-01T12:24:29,56,44,yes,338
154,1772396671,2026-03-01T12:24:31,56,44,yes,100
155,1772396671,2026-03-01T12:24:31,56,44,yes,263
156,1772396683,2026-03-01T12:24:43,56,44,yes,423
157,1772396685,2026-03-01T12:24:45,56,44,yes,15
158,1772396687,2026-03-01T12:24:47,56,44,yes,3
159,1772396689,2026-03-01T12:24:49,56,44,yes,2
160,1772396689,2026-03-01T12:24:49,56,44,yes,74
161,1772396691,2026-03-01T12:24:51,56,44,yes,51
162,1772396693,2026-03-01T12:24:53,56,44,yes,431
163,1772396713,2026-03-01T12:25:13,56,44,yes,100
164,1772396723,2026-03-01T12:25:23,56,44,yes,8
165,1772396728,2026-03-01T12:25:28,56,44,yes,517
166,1772396731,2026-03-01T12:25:31,56,44,yes,5
167,1772396738,2026-03-01T12:25:38,56,44,yes,8
168,1772396741,2026-03-01T12:25:41,56,44,yes,7282
169,1772396749,2026-03-01T12:25:49,55,45,no,63
170,1772396749,2026-03-01T12:25:49,55,45,no,183
171,1772396750,2026-03-01T12:25:50,55,45,no,20
172,1772396751,2026-03-01T12:25:51,56,44,yes,5
173,1772396758,2026-03-01T12:25:58,56,44,yes,765
174,1772396760,2026-03-01T12:26:00,56,44,yes,25
175,1772396761,2026-03-01T12:26:01,56,44,yes,51
176,1772396765,2026-03-01T12:26:05,56,44,yes,3
177,1772396770,2026-03-01T12:26:10,56,44,yes,200
178,1772396776,2026-03-01T12:26:16,56,44,yes,8
