Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772405149,2026-03-01T14:45:49,33,67,yes,14
2,1772405196,2026-03-01T14:46:36,33,67,yes,14
3,1772405206,2026-03-01T14:46:46,33,67,yes,17
4,1772405208,2026-03-01T14:46:48,33,67,yes,514
5,1772405212,2026-03-01T14:46:52,33,67,yes,22
6,1772405231,2026-03-01T14:47:11,33,67,yes,14
7,1772405240,2026-03-01T14:47:20,33,67,yes,5
8,1772405262,2026-03-01T14:47:42,33,67,yes,7
9,1772405289,2026-03-01T14:48:09,33,67,yes,128
10,1772405300,2026-03-01T14:48:20,33,67,yes,2
11,1772405310,2026-03-01T14:48:30,33,67,yes,10
12,1772405317,2026-03-01T14:48:37,33,67,yes,2
13,1772405320,2026-03-01T14:48:40,33,67,yes,20
14,1772405326,2026-03-01T14:48:46,33,67,yes,8
15,1772405332,2026-03-01T14:48:52,33,67,yes,26
16,1772405345,2026-03-01T14:49:05,33,67,yes,27
17,1772405363,2026-03-01T14:49:23,33,67,yes,157
18,1772405365,2026-03-01T14:49:25,32,68,no,2
19,1772405369,2026-03-01T14:49:29,33,67,yes,27
20,1772405379,2026-03-01T14:49:39,33,67,yes,14
21,1772405383,2026-03-01T14:49:43,33,67,yes,12
22,1772405388,2026-03-01T14:49:48,33,67,yes,14
23,1772405397,2026-03-01T14:49:57,33,67,yes,289
24,1772405414,2026-03-01T14:50:14,33,67,yes,20
25,1772405420,2026-03-01T14:50:20,33,67,yes,8
26,1772405434,2026-03-01T14:50:34,33,67,yes,46
27,1772405434,2026-03-01T14:50:34,33,67,yes,556
28,1772405451,2026-03-01T14:50:51,33,67,yes,115
29,1772405455,2026-03-01T14:50:55,33,67,yes,5
30,1772405463,2026-03-01T14:51:03,33,67,yes,14
31,1772405466,2026-03-01T14:51:06,33,67,yes,2
32,1772405491,2026-03-01T14:51:31,33,67,yes,28
33,1772405519,2026-03-01T14:51:59,33,67,yes,14
34,1772405527,2026-03-01T14:52:07,33,67,yes,321
35,1772405527,2026-03-01T14:52:07,33,67,yes,29000
36,1772405565,2026-03-01T14:52:45,33,67,yes,28
37,1772405581,2026-03-01T14:53:01,33,67,yes,289
38,1772405582,2026-03-01T14:53:02,33,67,yes,50
39,1772405606,2026-03-01T14:53:26,33,67,yes,39
40,1772405610,2026-03-01T14:53:30,33,67,yes,144
41,1772405612,2026-03-01T14:53:32,33,67,yes,14
42,1772405616,2026-03-01T14:53:36,33,67,yes,5
43,1772405633,2026-03-01T14:53:53,33,67,yes,14
44,1772405641,2026-03-01T14:54:01,33,67,yes,20
45,1772405647,2026-03-01T14:54:07,33,67,yes,289
46,1772405648,2026-03-01T14:54:08,33,67,yes,28
47,1772405674,2026-03-01T14:54:34,33,67,yes,285
48,1772405677,2026-03-01T14:54:37,33,67,yes,14
49,1772405712,2026-03-01T14:55:12,33,67,yes,57
50,1772405726,2026-03-01T14:55:26,33,67,yes,14
51,1772405735,2026-03-01T14:55:35,33,67,yes,26
52,1772405756,2026-03-01T14:55:56,33,67,yes,14
53,1772405766,2026-03-01T14:56:06,33,67,yes,431
54,1772405769,2026-03-01T14:56:09,33,67,yes,1013
55,1772405778,2026-03-01T14:56:18,33,67,yes,57
56,1772405789,2026-03-01T14:56:29,33,67,yes,28
57,1772405792,2026-03-01T14:56:32,33,67,yes,5
58,1772405798,2026-03-01T14:56:38,33,67,yes,120
59,1772405819,2026-03-01T14:56:59,33,67,yes,142
60,1772405824,2026-03-01T14:57:04,33,67,yes,5
61,1772405831,2026-03-01T14:57:11,33,67,yes,43
62,1772405833,2026-03-01T14:57:13,33,67,yes,3
63,1772405839,2026-03-01T14:57:19,33,67,yes,286
64,1772405875,2026-03-01T14:57:55,33,67,yes,14
65,1772405876,2026-03-01T14:57:56,33,67,yes,3
66,1772405881,2026-03-01T14:58:01,33,67,yes,368
67,1772405886,2026-03-01T14:58:06,33,67,yes,2
68,1772405895,2026-03-01T14:58:15,33,67,yes,14
69,1772405907,2026-03-01T14:58:27,33,67,yes,2
70,1772405923,2026-03-01T14:58:43,33,67,yes,3000
71,1772405925,2026-03-01T14:58:45,33,67,yes,30
72,1772405925,2026-03-01T14:58:45,33,67,yes,255
73,1772405933,2026-03-01T14:58:53,33,67,yes,416
74,1772405938,2026-03-01T14:58:58,33,67,yes,14
75,1772405941,2026-03-01T14:59:01,33,67,yes,29
