Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772387101,2026-03-01T09:45:01,52,48,yes,140
2,1772387103,2026-03-01T09:45:03,52,48,yes,9
3,1772387103,2026-03-01T09:45:03,52,48,yes,361
4,1772387105,2026-03-01T09:45:05,52,48,yes,93
5,1772387106,2026-03-01T09:45:06,52,48,yes,27
6,1772387109,2026-03-01T09:45:09,52,48,yes,100
7,1772387110,2026-03-01T09:45:10,52,48,yes,37
8,1772387118,2026-03-01T09:45:18,52,48,yes,1
9,1772387119,2026-03-01T09:45:19,52,48,yes,925
10,1772387120,2026-03-01T09:45:20,52,48,yes,45
11,1772387121,2026-03-01T09:45:21,52,48,yes,10
12,1772387122,2026-03-01T09:45:22,52,48,yes,372
13,1772387129,2026-03-01T09:45:29,52,48,yes,5
14,1772387129,2026-03-01T09:45:29,52,48,yes,5000
15,1772387132,2026-03-01T09:45:32,52,48,yes,1
16,1772387132,2026-03-01T09:45:32,52,48,yes,92
17,1772387134,2026-03-01T09:45:34,52,48,yes,26
18,1772387134,2026-03-01T09:45:34,52,48,yes,18
19,1772387140,2026-03-01T09:45:40,52,48,yes,418
20,1772387141,2026-03-01T09:45:41,52,48,yes,67
21,1772387142,2026-03-01T09:45:42,52,48,yes,18
22,1772387144,2026-03-01T09:45:44,52,48,yes,18
23,1772387145,2026-03-01T09:45:45,52,48,yes,18
24,1772387147,2026-03-01T09:45:47,52,48,yes,92
25,1772387149,2026-03-01T09:45:49,52,48,yes,46
26,1772387149,2026-03-01T09:45:49,52,48,yes,168
27,1772387150,2026-03-01T09:45:50,52,48,yes,18
28,1772387151,2026-03-01T09:45:51,52,48,yes,92
29,1772387154,2026-03-01T09:45:54,52,48,yes,10
30,1772387155,2026-03-01T09:45:55,52,48,yes,31
31,1772387156,2026-03-01T09:45:56,52,48,yes,31
32,1772387157,2026-03-01T09:45:57,52,48,yes,47
33,1772387159,2026-03-01T09:45:59,52,48,yes,300
34,1772387159,2026-03-01T09:45:59,52,48,yes,18
35,1772387160,2026-03-01T09:46:00,52,48,yes,1
36,1772387160,2026-03-01T09:46:00,52,48,yes,9
37,1772387161,2026-03-01T09:46:01,52,48,yes,66
38,1772387162,2026-03-01T09:46:02,52,48,yes,21
39,1772387164,2026-03-01T09:46:04,52,48,yes,11
40,1772387165,2026-03-01T09:46:05,52,48,yes,3
41,1772387169,2026-03-01T09:46:09,52,48,yes,187
42,1772387175,2026-03-01T09:46:15,52,48,yes,9
43,1772387176,2026-03-01T09:46:16,52,48,yes,22
44,1772387176,2026-03-01T09:46:16,52,48,yes,54
45,1772387176,2026-03-01T09:46:16,52,48,yes,9
46,1772387179,2026-03-01T09:46:19,52,48,yes,27
47,1772387181,2026-03-01T09:46:21,52,48,yes,70
48,1772387183,2026-03-01T09:46:23,52,48,yes,182
49,1772387184,2026-03-01T09:46:24,52,48,yes,13
50,1772387186,2026-03-01T09:46:26,52,48,yes,92
51,1772387187,2026-03-01T09:46:27,52,48,yes,9
52,1772387189,2026-03-01T09:46:29,52,48,yes,47
53,1772387190,2026-03-01T09:46:30,52,48,yes,186
54,1772387190,2026-03-01T09:46:30,52,48,yes,2
55,1772387193,2026-03-01T09:46:33,52,48,yes,9
56,1772387194,2026-03-01T09:46:34,52,48,yes,5
57,1772387195,2026-03-01T09:46:35,52,48,yes,37
58,1772387197,2026-03-01T09:46:37,52,48,yes,11
59,1772387200,2026-03-01T09:46:40,52,48,yes,9
60,1772387200,2026-03-01T09:46:40,52,48,yes,83
61,1772387201,2026-03-01T09:46:41,52,48,yes,111
62,1772387202,2026-03-01T09:46:42,52,48,yes,200
63,1772387202,2026-03-01T09:46:42,52,48,yes,102
64,1772387204,2026-03-01T09:46:44,52,48,yes,2
65,1772387206,2026-03-01T09:46:46,52,48,yes,2001
66,1772387207,2026-03-01T09:46:47,52,48,yes,38
