Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772495107,2026-03-02T15:45:07,12,88,yes,142
2,1772495113,2026-03-02T15:45:13,12,88,yes,250
3,1772495116,2026-03-02T15:45:16,12,88,yes,11
4,1772495116,2026-03-02T15:45:16,11,89,no,17
5,1772495122,2026-03-02T15:45:22,11,89,no,15
6,1772495131,2026-03-02T15:45:31,12,88,yes,117
7,1772495134,2026-03-02T15:45:34,12,88,yes,7
8,1772495142,2026-03-02T15:45:42,12,88,yes,79
9,1772495145,2026-03-02T15:45:45,12,88,yes,10
10,1772495147,2026-03-02T15:45:47,12,88,yes,39
11,1772495152,2026-03-02T15:45:52,12,88,yes,87
12,1772495152,2026-03-02T15:45:52,12,88,yes,15
13,1772495156,2026-03-02T15:45:56,12,88,yes,7
14,1772495167,2026-03-02T15:46:07,12,88,yes,30
15,1772495197,2026-03-02T15:46:37,12,88,yes,1
16,1772495201,2026-03-02T15:46:41,12,88,yes,492
17,1772495204,2026-03-02T15:46:44,12,88,yes,7
18,1772495208,2026-03-02T15:46:48,12,88,yes,33
19,1772495208,2026-03-02T15:46:48,12,88,yes,313
20,1772495213,2026-03-02T15:46:53,12,88,yes,42
21,1772495227,2026-03-02T15:47:07,12,88,yes,6
22,1772495231,2026-03-02T15:47:11,12,88,yes,7
23,1772495241,2026-03-02T15:47:21,12,88,yes,15
24,1772495252,2026-03-02T15:47:32,12,88,yes,7
25,1772495254,2026-03-02T15:47:34,12,88,yes,13
26,1772495255,2026-03-02T15:47:35,12,88,yes,7
27,1772495255,2026-03-02T15:47:35,12,88,yes,214
28,1772495260,2026-03-02T15:47:40,12,88,yes,59
29,1772495262,2026-03-02T15:47:42,11,89,no,1
30,1772495264,2026-03-02T15:47:44,12,88,yes,53
31,1772495267,2026-03-02T15:47:47,12,88,yes,7
32,1772495280,2026-03-02T15:48:00,12,88,yes,71
33,1772495282,2026-03-02T15:48:02,12,88,yes,107
34,1772495286,2026-03-02T15:48:06,11,89,no,14
35,1772495286,2026-03-02T15:48:06,11,89,no,1
36,1772495287,2026-03-02T15:48:07,12,88,yes,156
37,1772495296,2026-03-02T15:48:16,12,88,yes,21
38,1772495297,2026-03-02T15:48:17,12,88,yes,13
39,1772495304,2026-03-02T15:48:24,12,88,yes,13
40,1772495320,2026-03-02T15:48:40,12,88,yes,15
