Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772585102,2026-03-03T16:45:02,87,13,yes,1
2,1772585119,2026-03-03T16:45:19,87,13,yes,231
3,1772585123,2026-03-03T16:45:23,87,13,yes,111
4,1772585183,2026-03-03T16:46:23,87,13,yes,113
5,1772585184,2026-03-03T16:46:24,86,14,no,60
6,1772585199,2026-03-03T16:46:39,87,13,yes,561
7,1772585202,2026-03-03T16:46:42,87,13,yes,5
8,1772585220,2026-03-03T16:47:00,87,13,yes,561
9,1772585227,2026-03-03T16:47:07,87,13,yes,5
10,1772585231,2026-03-03T16:47:11,87,13,yes,28
11,1772585276,2026-03-03T16:47:56,87,13,yes,2
12,1772585299,2026-03-03T16:48:19,87,13,yes,21
13,1772585328,2026-03-03T16:48:48,87,13,yes,183
14,1772585333,2026-03-03T16:48:53,87,13,yes,11
15,1772585358,2026-03-03T16:49:18,87,13,yes,2
16,1772585375,2026-03-03T16:49:35,87,13,yes,6
17,1772585409,2026-03-03T16:50:09,87,13,yes,113
18,1772585413,2026-03-03T16:50:13,87,13,yes,13
19,1772585417,2026-03-03T16:50:17,87,13,yes,1
20,1772585438,2026-03-03T16:50:38,87,13,yes,112
21,1772585497,2026-03-03T16:51:37,87,13,yes,56
22,1772585553,2026-03-03T16:52:33,87,13,yes,2000
23,1772585600,2026-03-03T16:53:20,87,13,yes,50
24,1772585612,2026-03-03T16:53:32,87,13,yes,56
25,1772585627,2026-03-03T16:53:47,87,13,yes,202
26,1772585644,2026-03-03T16:54:04,87,13,yes,2
27,1772585696,2026-03-03T16:54:56,87,13,yes,11
28,1772585709,2026-03-03T16:55:09,87,13,yes,16
29,1772585752,2026-03-03T16:55:52,87,13,yes,5
30,1772585755,2026-03-03T16:55:55,87,13,yes,47
31,1772585775,2026-03-03T16:56:15,87,13,yes,2
32,1772585776,2026-03-03T16:56:16,87,13,yes,17
33,1772585780,2026-03-03T16:56:20,87,13,yes,1
34,1772585801,2026-03-03T16:56:41,87,13,yes,113
35,1772585803,2026-03-03T16:56:43,87,13,yes,10
36,1772585827,2026-03-03T16:57:07,86,14,no,100
37,1772585846,2026-03-03T16:57:26,87,13,yes,11
38,1772585856,2026-03-03T16:57:36,86,14,no,340
39,1772585856,2026-03-03T16:57:36,86,14,no,4
40,1772585856,2026-03-03T16:57:36,86,14,no,396
41,1772585856,2026-03-03T16:57:36,86,14,no,123
42,1772585856,2026-03-03T16:57:36,86,14,no,40
43,1772585856,2026-03-03T16:57:36,86,14,no,89
44,1772585856,2026-03-03T16:57:36,86,14,no,3008
45,1772585856,2026-03-03T16:57:36,87,13,yes,3
46,1772585878,2026-03-03T16:57:58,87,13,yes,51
47,1772585895,2026-03-03T16:58:15,87,13,yes,2
48,1772585933,2026-03-03T16:58:53,87,13,yes,11
49,1772585941,2026-03-03T16:59:01,87,13,yes,1708
50,1772585966,2026-03-03T16:59:26,87,13,yes,2
51,1772585996,2026-03-03T16:59:56,87,13,yes,11
52,1772586010,2026-03-03T17:00:10,87,13,yes,1
53,1772586043,2026-03-03T17:00:43,87,13,yes,1
54,1772586050,2026-03-03T17:00:50,87,13,yes,1
55,1772586051,2026-03-03T17:00:51,87,13,yes,20
56,1772586070,2026-03-03T17:01:10,87,13,yes,17
57,1772586074,2026-03-03T17:01:14,87,13,yes,5
58,1772586098,2026-03-03T17:01:38,87,13,yes,561
59,1772586147,2026-03-03T17:02:27,87,13,yes,5
60,1772586158,2026-03-03T17:02:38,87,13,yes,25
61,1772586158,2026-03-03T17:02:38,87,13,yes,5
62,1772586164,2026-03-03T17:02:44,87,13,yes,3
63,1772586181,2026-03-03T17:03:01,87,13,yes,41
64,1772586187,2026-03-03T17:03:07,87,13,yes,1
65,1772586199,2026-03-03T17:03:19,87,13,yes,11
66,1772586201,2026-03-03T17:03:21,86,14,no,1
67,1772586201,2026-03-03T17:03:21,86,14,no,49
68,1772586227,2026-03-03T17:03:47,87,13,yes,5
69,1772586270,2026-03-03T17:04:30,87,13,yes,2
70,1772586275,2026-03-03T17:04:35,87,13,yes,113
71,1772586280,2026-03-03T17:04:40,87,13,yes,1
72,1772586292,2026-03-03T17:04:52,87,13,yes,66
73,1772586324,2026-03-03T17:05:24,87,13,yes,284
74,1772586425,2026-03-03T17:07:05,87,13,yes,16
75,1772586444,2026-03-03T17:07:24,87,13,yes,17
76,1772586450,2026-03-03T17:07:30,87,13,yes,113
77,1772586465,2026-03-03T17:07:45,87,13,yes,56
78,1772586473,2026-03-03T17:07:53,87,13,yes,113
79,1772586478,2026-03-03T17:07:58,87,13,yes,11
