Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772594102,2026-03-03T19:15:02,76,24,yes,2
2,1772594105,2026-03-03T19:15:05,76,24,yes,14
3,1772594106,2026-03-03T19:15:06,76,24,yes,1
4,1772594107,2026-03-03T19:15:07,76,24,yes,64
5,1772594108,2026-03-03T19:15:08,76,24,yes,99
6,1772594109,2026-03-03T19:15:09,76,24,yes,427
7,1772594110,2026-03-03T19:15:10,76,24,yes,2644
8,1772594110,2026-03-03T19:15:10,76,24,yes,50000
9,1772594110,2026-03-03T19:15:10,76,24,yes,46854
10,1772594112,2026-03-03T19:15:12,76,24,yes,8
11,1772594112,2026-03-03T19:15:12,76,24,yes,1
12,1772594113,2026-03-03T19:15:13,76,24,yes,27
13,1772594113,2026-03-03T19:15:13,76,24,yes,164
14,1772594114,2026-03-03T19:15:14,76,24,yes,50
15,1772594116,2026-03-03T19:15:16,76,24,yes,177
16,1772594116,2026-03-03T19:15:16,76,24,yes,160
17,1772594116,2026-03-03T19:15:16,76,24,yes,8
18,1772594118,2026-03-03T19:15:18,76,24,yes,552
19,1772594118,2026-03-03T19:15:18,76,24,yes,409
20,1772594119,2026-03-03T19:15:19,76,24,yes,50
21,1772594120,2026-03-03T19:15:20,76,24,yes,48
22,1772594120,2026-03-03T19:15:20,76,24,yes,19
23,1772594121,2026-03-03T19:15:21,76,24,yes,19
24,1772594121,2026-03-03T19:15:21,76,24,yes,50
25,1772594123,2026-03-03T19:15:23,76,24,yes,361
26,1772594128,2026-03-03T19:15:28,76,24,yes,64
27,1772594131,2026-03-03T19:15:31,76,24,yes,5
28,1772594131,2026-03-03T19:15:31,76,24,yes,320
29,1772594131,2026-03-03T19:15:31,76,24,yes,32
30,1772594132,2026-03-03T19:15:32,76,24,yes,80
31,1772594132,2026-03-03T19:15:32,76,24,yes,15
32,1772594133,2026-03-03T19:15:33,76,24,yes,256
33,1772594133,2026-03-03T19:15:33,76,24,yes,64
34,1772594135,2026-03-03T19:15:35,76,24,yes,25
35,1772594135,2026-03-03T19:15:35,76,24,yes,24
36,1772594135,2026-03-03T19:15:35,76,24,yes,33
37,1772594135,2026-03-03T19:15:35,76,24,yes,25
38,1772594136,2026-03-03T19:15:36,76,24,yes,84
39,1772594137,2026-03-03T19:15:37,76,24,yes,280
40,1772594137,2026-03-03T19:15:37,76,24,yes,64
41,1772594137,2026-03-03T19:15:37,76,24,yes,2
42,1772594140,2026-03-03T19:15:40,76,24,yes,1
43,1772594140,2026-03-03T19:15:40,76,24,yes,103
44,1772594140,2026-03-03T19:15:40,76,24,yes,100
45,1772594141,2026-03-03T19:15:41,76,24,yes,5
46,1772594144,2026-03-03T19:15:44,76,24,yes,6
47,1772594144,2026-03-03T19:15:44,76,24,yes,50
48,1772594144,2026-03-03T19:15:44,76,24,yes,3
49,1772594145,2026-03-03T19:15:45,76,24,yes,25
50,1772594145,2026-03-03T19:15:45,76,24,yes,433
51,1772594146,2026-03-03T19:15:46,76,24,yes,76
52,1772594146,2026-03-03T19:15:46,76,24,yes,32
53,1772594148,2026-03-03T19:15:48,76,24,yes,961
54,1772594148,2026-03-03T19:15:48,76,24,yes,2
55,1772594149,2026-03-03T19:15:49,76,24,yes,25
56,1772594151,2026-03-03T19:15:51,76,24,yes,314
57,1772594152,2026-03-03T19:15:52,76,24,yes,43
58,1772594153,2026-03-03T19:15:53,76,24,yes,196
59,1772594155,2026-03-03T19:15:55,76,24,yes,460
60,1772594155,2026-03-03T19:15:55,76,24,yes,8
61,1772594155,2026-03-03T19:15:55,76,24,yes,27
62,1772594156,2026-03-03T19:15:56,76,24,yes,25
63,1772594157,2026-03-03T19:15:57,76,24,yes,194
64,1772594159,2026-03-03T19:15:59,76,24,yes,25
65,1772594159,2026-03-03T19:15:59,76,24,yes,107
66,1772594159,2026-03-03T19:15:59,76,24,yes,4529
67,1772594161,2026-03-03T19:16:01,76,24,yes,192
68,1772594163,2026-03-03T19:16:03,76,24,yes,12
69,1772594165,2026-03-03T19:16:05,76,24,yes,22
70,1772594166,2026-03-03T19:16:06,76,24,yes,341
71,1772594166,2026-03-03T19:16:06,76,24,yes,25
72,1772594168,2026-03-03T19:16:08,76,24,yes,112
73,1772594168,2026-03-03T19:16:08,76,24,yes,323
74,1772594169,2026-03-03T19:16:09,76,24,yes,323
75,1772594169,2026-03-03T19:16:09,76,24,yes,64
76,1772594169,2026-03-03T19:16:09,76,24,yes,358
77,1772594170,2026-03-03T19:16:10,76,24,yes,5
78,1772594171,2026-03-03T19:16:11,76,24,yes,2
