Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1772930702,2026-03-07T16:45:02,27,73,no,13
2,1772930738,2026-03-07T16:45:38,28,72,yes,20
3,1772930740,2026-03-07T16:45:40,27,73,no,6
4,1772930742,2026-03-07T16:45:42,28,72,yes,34
5,1772930747,2026-03-07T16:45:47,28,72,yes,126
6,1772930756,2026-03-07T16:45:56,28,72,yes,1
7,1772930778,2026-03-07T16:46:18,28,72,yes,10
8,1772930779,2026-03-07T16:46:19,28,72,yes,8
9,1772930782,2026-03-07T16:46:22,28,72,yes,51
10,1772930808,2026-03-07T16:46:48,28,72,yes,13
11,1772930851,2026-03-07T16:47:31,28,72,yes,100
12,1772930861,2026-03-07T16:47:41,28,72,yes,5
13,1772930872,2026-03-07T16:47:52,28,72,yes,68
14,1772930872,2026-03-07T16:47:52,28,72,yes,10
15,1772930890,2026-03-07T16:48:10,28,72,yes,25
16,1772930900,2026-03-07T16:48:20,28,72,yes,3
17,1772930905,2026-03-07T16:48:25,28,72,yes,245
18,1772930909,2026-03-07T16:48:29,28,72,yes,20
19,1772930917,2026-03-07T16:48:37,28,72,yes,6
20,1772930920,2026-03-07T16:48:40,28,72,yes,50
21,1772930931,2026-03-07T16:48:51,28,72,yes,266
22,1772930933,2026-03-07T16:48:53,28,72,yes,39
23,1772930966,2026-03-07T16:49:26,28,72,yes,17
24,1772930976,2026-03-07T16:49:36,28,72,yes,10
25,1772930977,2026-03-07T16:49:37,28,72,yes,6
26,1772930993,2026-03-07T16:49:53,28,72,yes,398
27,1772930993,2026-03-07T16:49:53,28,72,yes,1302
28,1772930999,2026-03-07T16:49:59,28,72,yes,33
29,1772931000,2026-03-07T16:50:00,28,72,yes,16
30,1772931022,2026-03-07T16:50:22,27,73,no,20
31,1772931031,2026-03-07T16:50:31,28,72,yes,50
32,1772931040,2026-03-07T16:50:40,28,72,yes,170
33,1772931042,2026-03-07T16:50:42,28,72,yes,200
34,1772931060,2026-03-07T16:51:00,28,72,yes,33
35,1772931060,2026-03-07T16:51:00,28,72,yes,16
36,1772931066,2026-03-07T16:51:06,28,72,yes,17
37,1772931078,2026-03-07T16:51:18,28,72,yes,83
38,1772931080,2026-03-07T16:51:20,28,72,yes,68
39,1772931091,2026-03-07T16:51:31,28,72,yes,10
40,1772931096,2026-03-07T16:51:36,28,72,yes,16
41,1772931102,2026-03-07T16:51:42,28,72,yes,17
42,1772931120,2026-03-07T16:52:00,28,72,yes,45
43,1772931127,2026-03-07T16:52:07,28,72,yes,33
44,1772931129,2026-03-07T16:52:09,28,72,yes,7891
45,1772931129,2026-03-07T16:52:09,28,72,yes,26
46,1772931129,2026-03-07T16:52:09,28,72,yes,708
47,1772931146,2026-03-07T16:52:26,28,72,yes,50
48,1772931150,2026-03-07T16:52:30,28,72,yes,10
49,1772931176,2026-03-07T16:52:56,28,72,yes,33
50,1772931179,2026-03-07T16:52:59,28,72,yes,50
51,1772931183,2026-03-07T16:53:03,28,72,yes,20
52,1772931189,2026-03-07T16:53:09,28,72,yes,112
53,1772931197,2026-03-07T16:53:17,27,73,no,6
54,1772931199,2026-03-07T16:53:19,28,72,yes,21
55,1772931223,2026-03-07T16:53:43,28,72,yes,10
56,1772931224,2026-03-07T16:53:44,28,72,yes,100
57,1772931232,2026-03-07T16:53:52,28,72,yes,10
58,1772931249,2026-03-07T16:54:09,28,72,yes,3
59,1772931250,2026-03-07T16:54:10,28,72,yes,32
60,1772931253,2026-03-07T16:54:13,28,72,yes,85
61,1772931272,2026-03-07T16:54:32,28,72,yes,33
62,1772931275,2026-03-07T16:54:35,28,72,yes,25
63,1772931280,2026-03-07T16:54:40,28,72,yes,17
64,1772931301,2026-03-07T16:55:01,28,72,yes,17
65,1772931305,2026-03-07T16:55:05,28,72,yes,1
66,1772931334,2026-03-07T16:55:34,28,72,yes,6
67,1772931353,2026-03-07T16:55:53,28,72,yes,6
68,1772931371,2026-03-07T16:56:11,28,72,yes,15
69,1772931389,2026-03-07T16:56:29,28,72,yes,1000
70,1772931389,2026-03-07T16:56:29,28,72,yes,2
71,1772931412,2026-03-07T16:56:52,28,72,yes,34
72,1772931416,2026-03-07T16:56:56,28,72,yes,17
73,1772931423,2026-03-07T16:57:03,28,72,yes,6
74,1772931429,2026-03-07T16:57:09,28,72,yes,3
75,1772931433,2026-03-07T16:57:13,28,72,yes,10
76,1772931468,2026-03-07T16:57:48,28,72,yes,334
77,1772931474,2026-03-07T16:57:54,28,72,yes,34
78,1772931500,2026-03-07T16:58:20,28,72,yes,32
79,1772931549,2026-03-07T16:59:09,28,72,yes,10
80,1772931552,2026-03-07T16:59:12,28,72,yes,17
