Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1773186310,2026-03-10T16:45:10,46,54,yes,50
2,1773186311,2026-03-10T16:45:11,46,54,yes,2
3,1773186324,2026-03-10T16:45:24,46,54,yes,52
4,1773186335,2026-03-10T16:45:35,45,55,no,42
5,1773186335,2026-03-10T16:45:35,45,55,no,8
6,1773186354,2026-03-10T16:45:54,46,54,yes,30
7,1773186372,2026-03-10T16:46:12,46,54,yes,38
8,1773186422,2026-03-10T16:47:02,46,54,yes,51
9,1773186427,2026-03-10T16:47:07,46,54,yes,38
10,1773186432,2026-03-10T16:47:12,46,54,yes,79
11,1773186435,2026-03-10T16:47:15,45,55,no,852
12,1773186435,2026-03-10T16:47:15,45,55,no,148
13,1773186446,2026-03-10T16:47:26,46,54,yes,4
14,1773186446,2026-03-10T16:47:26,46,54,yes,27
15,1773186465,2026-03-10T16:47:45,46,54,yes,10
16,1773186482,2026-03-10T16:48:02,46,54,yes,5135
17,1773186484,2026-03-10T16:48:04,45,55,no,352
18,1773186492,2026-03-10T16:48:12,46,54,yes,2
19,1773186499,2026-03-10T16:48:19,46,54,yes,62
20,1773186502,2026-03-10T16:48:22,46,54,yes,209
21,1773186504,2026-03-10T16:48:24,46,54,yes,6
22,1773186522,2026-03-10T16:48:42,46,54,yes,200
23,1773186528,2026-03-10T16:48:48,46,54,yes,34
24,1773186541,2026-03-10T16:49:01,46,54,yes,41
25,1773186551,2026-03-10T16:49:11,46,54,yes,20
26,1773186556,2026-03-10T16:49:16,46,54,yes,10
27,1773186571,2026-03-10T16:49:31,46,54,yes,20
28,1773186574,2026-03-10T16:49:34,46,54,yes,10
29,1773186576,2026-03-10T16:49:36,46,54,yes,40
30,1773186583,2026-03-10T16:49:43,46,54,yes,11
31,1773186618,2026-03-10T16:50:18,46,54,yes,188
32,1773186621,2026-03-10T16:50:21,45,55,no,11
33,1773186625,2026-03-10T16:50:25,46,54,yes,25
34,1773186682,2026-03-10T16:51:22,46,54,yes,6
35,1773186685,2026-03-10T16:51:25,46,54,yes,35
36,1773186692,2026-03-10T16:51:32,46,54,yes,2
37,1773186703,2026-03-10T16:51:43,46,54,yes,81
38,1773186712,2026-03-10T16:51:52,46,54,yes,104
39,1773186749,2026-03-10T16:52:29,46,54,yes,20
40,1773186752,2026-03-10T16:52:32,46,54,yes,1
41,1773186755,2026-03-10T16:52:35,46,54,yes,102
42,1773186759,2026-03-10T16:52:39,46,54,yes,104
43,1773186788,2026-03-10T16:53:08,46,54,yes,189
44,1773186789,2026-03-10T16:53:09,46,54,yes,389
45,1773186800,2026-03-10T16:53:20,46,54,yes,52
46,1773186806,2026-03-10T16:53:26,46,54,yes,1
47,1773186835,2026-03-10T16:53:55,46,54,yes,168
48,1773186836,2026-03-10T16:53:56,46,54,yes,20
49,1773186857,2026-03-10T16:54:17,46,54,yes,10
50,1773186860,2026-03-10T16:54:20,46,54,yes,52
51,1773186866,2026-03-10T16:54:26,46,54,yes,10
52,1773186875,2026-03-10T16:54:35,45,55,no,1345
53,1773186884,2026-03-10T16:54:44,46,54,yes,1129
54,1773186902,2026-03-10T16:55:02,46,54,yes,4
55,1773186929,2026-03-10T16:55:29,46,54,yes,10
56,1773186960,2026-03-10T16:56:00,46,54,yes,20
57,1773186963,2026-03-10T16:56:03,46,54,yes,20
58,1773186966,2026-03-10T16:56:06,46,54,yes,10
59,1773186970,2026-03-10T16:56:10,46,54,yes,83
60,1773186984,2026-03-10T16:56:24,46,54,yes,52
61,1773186989,2026-03-10T16:56:29,46,54,yes,102
62,1773186992,2026-03-10T16:56:32,46,54,yes,23
63,1773186997,2026-03-10T16:56:37,46,54,yes,52
64,1773187018,2026-03-10T16:56:58,46,54,yes,21
65,1773187067,2026-03-10T16:57:47,46,54,yes,31
66,1773187077,2026-03-10T16:57:57,46,54,yes,500
67,1773187096,2026-03-10T16:58:16,46,54,yes,833
68,1773187100,2026-03-10T16:58:20,45,55,no,5
69,1773187101,2026-03-10T16:58:21,46,54,yes,16
70,1773187101,2026-03-10T16:58:21,46,54,yes,104
71,1773187113,2026-03-10T16:58:33,46,54,yes,2083
72,1773187124,2026-03-10T16:58:44,46,54,yes,41
73,1773187129,2026-03-10T16:58:49,46,54,yes,238
74,1773187132,2026-03-10T16:58:52,46,54,yes,62
75,1773187162,2026-03-10T16:59:22,46,54,yes,20
76,1773187165,2026-03-10T16:59:25,46,54,yes,50
77,1773187168,2026-03-10T16:59:28,46,54,yes,232
78,1773187175,2026-03-10T16:59:35,46,54,yes,12
79,1773187180,2026-03-10T16:59:40,46,54,yes,104
80,1773187205,2026-03-10T17:00:05,46,54,yes,1166
81,1773187210,2026-03-10T17:00:10,46,54,yes,3125
82,1773187214,2026-03-10T17:00:14,46,54,yes,41
83,1773187215,2026-03-10T17:00:15,46,54,yes,22
84,1773187239,2026-03-10T17:00:39,46,54,yes,758
85,1773187242,2026-03-10T17:00:42,46,54,yes,416
86,1773187242,2026-03-10T17:00:42,46,54,yes,25
87,1773187250,2026-03-10T17:00:50,46,54,yes,41
88,1773187257,2026-03-10T17:00:57,46,54,yes,27
89,1773187267,2026-03-10T17:01:07,46,54,yes,189
90,1773187268,2026-03-10T17:01:08,46,54,yes,279
91,1773187274,2026-03-10T17:01:14,46,54,yes,777
92,1773187274,2026-03-10T17:01:14,46,54,yes,60
93,1773187276,2026-03-10T17:01:16,46,54,yes,20
94,1773187278,2026-03-10T17:01:18,46,54,yes,20
95,1773187316,2026-03-10T17:01:56,46,54,yes,20
96,1773187318,2026-03-10T17:01:58,45,55,no,81
97,1773187320,2026-03-10T17:02:00,46,54,yes,3142
98,1773187328,2026-03-10T17:02:08,46,54,yes,10
99,1773187347,2026-03-10T17:02:27,46,54,yes,20
100,1773187354,2026-03-10T17:02:34,46,54,yes,31
101,1773187354,2026-03-10T17:02:34,46,54,yes,20
102,1773187366,2026-03-10T17:02:46,46,54,yes,138
103,1773187371,2026-03-10T17:02:51,46,54,yes,20
104,1773187401,2026-03-10T17:03:21,46,54,yes,10
105,1773187401,2026-03-10T17:03:21,46,54,yes,40
106,1773187425,2026-03-10T17:03:45,46,54,yes,20
107,1773187447,2026-03-10T17:04:07,46,54,yes,20
108,1773187448,2026-03-10T17:04:08,46,54,yes,20
109,1773187457,2026-03-10T17:04:17,46,54,yes,20
110,1773187457,2026-03-10T17:04:17,46,54,yes,10
111,1773187461,2026-03-10T17:04:21,46,54,yes,4
112,1773187463,2026-03-10T17:04:23,46,54,yes,2
113,1773187470,2026-03-10T17:04:30,46,54,yes,523
114,1773187486,2026-03-10T17:04:46,46,54,yes,20
115,1773187489,2026-03-10T17:04:49,46,54,yes,312
116,1773187493,2026-03-10T17:04:53,46,54,yes,628
117,1773187497,2026-03-10T17:04:57,46,54,yes,65
118,1773187508,2026-03-10T17:05:08,46,54,yes,40
119,1773187510,2026-03-10T17:05:10,46,54,yes,10
120,1773187520,2026-03-10T17:05:20,46,54,yes,1041
121,1773187528,2026-03-10T17:05:28,46,54,yes,40
122,1773187530,2026-03-10T17:05:30,46,54,yes,1041
123,1773187533,2026-03-10T17:05:33,46,54,yes,11
124,1773187585,2026-03-10T17:06:25,46,54,yes,6
125,1773187598,2026-03-10T17:06:38,46,54,yes,10
126,1773187604,2026-03-10T17:06:44,46,54,yes,2
127,1773187604,2026-03-10T17:06:44,46,54,yes,16
128,1773187604,2026-03-10T17:06:44,46,54,yes,41
129,1773187610,2026-03-10T17:06:50,46,54,yes,20
130,1773187618,2026-03-10T17:06:58,46,54,yes,10
131,1773187623,2026-03-10T17:07:03,46,54,yes,25
132,1773187629,2026-03-10T17:07:09,46,54,yes,843
133,1773187631,2026-03-10T17:07:11,46,54,yes,62
134,1773187646,2026-03-10T17:07:26,46,54,yes,60
135,1773187647,2026-03-10T17:07:27,46,54,yes,10
136,1773187650,2026-03-10T17:07:30,46,54,yes,4
137,1773187656,2026-03-10T17:07:36,46,54,yes,23
138,1773187659,2026-03-10T17:07:39,46,54,yes,20
139,1773187665,2026-03-10T17:07:45,46,54,yes,20
140,1773187695,2026-03-10T17:08:15,46,54,yes,380
141,1773187720,2026-03-10T17:08:40,46,54,yes,209
142,1773187738,2026-03-10T17:08:58,45,55,no,3
143,1773187743,2026-03-10T17:09:03,46,54,yes,75
144,1773187744,2026-03-10T17:09:04,45,55,no,20
145,1773187758,2026-03-10T17:09:18,46,54,yes,2
146,1773187763,2026-03-10T17:09:23,46,54,yes,20
147,1773187776,2026-03-10T17:09:36,46,54,yes,104
148,1773187794,2026-03-10T17:09:54,46,54,yes,16
