Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1773270901,2026-03-11T16:15:01,60,40,yes,16
2,1773270904,2026-03-11T16:15:04,60,40,yes,32
3,1773270906,2026-03-11T16:15:06,60,40,yes,3
4,1773270914,2026-03-11T16:15:14,60,40,yes,405
5,1773270915,2026-03-11T16:15:15,60,40,yes,3
6,1773270915,2026-03-11T16:15:15,60,40,yes,79
7,1773270917,2026-03-11T16:15:17,60,40,yes,10
8,1773270920,2026-03-11T16:15:20,60,40,yes,161
9,1773270923,2026-03-11T16:15:23,60,40,yes,8
10,1773270924,2026-03-11T16:15:24,60,40,yes,74
11,1773270926,2026-03-11T16:15:26,60,40,yes,115
12,1773270926,2026-03-11T16:15:26,60,40,yes,81
13,1773270929,2026-03-11T16:15:29,60,40,yes,32
14,1773270930,2026-03-11T16:15:30,60,40,yes,2
15,1773270931,2026-03-11T16:15:31,60,40,yes,8
16,1773270931,2026-03-11T16:15:31,60,40,yes,120
17,1773270931,2026-03-11T16:15:31,60,40,yes,70
18,1773270932,2026-03-11T16:15:32,60,40,yes,16
19,1773270932,2026-03-11T16:15:32,60,40,yes,3
20,1773270937,2026-03-11T16:15:37,59,41,no,4391
21,1773270937,2026-03-11T16:15:37,59,41,no,1000
22,1773270937,2026-03-11T16:15:37,59,41,no,4000
23,1773270937,2026-03-11T16:15:37,59,41,no,189
24,1773270937,2026-03-11T16:15:37,59,41,no,4
25,1773270937,2026-03-11T16:15:37,59,41,no,250
26,1773270937,2026-03-11T16:15:37,59,41,no,17
27,1773270937,2026-03-11T16:15:37,59,41,no,1500
28,1773270937,2026-03-11T16:15:37,59,41,no,20
29,1773270937,2026-03-11T16:15:37,59,41,no,100
30,1773270937,2026-03-11T16:15:37,59,41,no,222
31,1773270937,2026-03-11T16:15:37,59,41,no,1
32,1773270940,2026-03-11T16:15:40,59,41,yes,7
33,1773270941,2026-03-11T16:15:41,59,41,yes,25
34,1773270942,2026-03-11T16:15:42,59,41,yes,25
35,1773270943,2026-03-11T16:15:43,59,41,yes,66
36,1773270943,2026-03-11T16:15:43,59,41,yes,164
37,1773270947,2026-03-11T16:15:47,59,41,yes,32
38,1773270963,2026-03-11T16:16:03,58,42,no,5
39,1773270964,2026-03-11T16:16:04,59,41,yes,16
40,1773270965,2026-03-11T16:16:05,59,41,yes,600
41,1773270965,2026-03-11T16:16:05,59,41,yes,819
42,1773270968,2026-03-11T16:16:08,59,41,yes,11
43,1773270968,2026-03-11T16:16:08,59,41,yes,8
44,1773270973,2026-03-11T16:16:13,59,41,yes,1
45,1773270977,2026-03-11T16:16:17,58,42,no,17
