Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1773281703,2026-03-11T19:15:03,55,45,yes,35
2,1773281709,2026-03-11T19:15:09,55,45,yes,73
3,1773281709,2026-03-11T19:15:09,55,45,yes,628
4,1773281709,2026-03-11T19:15:09,55,45,yes,35
5,1773281712,2026-03-11T19:15:12,55,45,yes,35
6,1773281712,2026-03-11T19:15:12,55,45,yes,1052
7,1773281713,2026-03-11T19:15:13,55,45,yes,3
8,1773281716,2026-03-11T19:15:16,55,45,yes,78
9,1773281717,2026-03-11T19:15:17,55,45,yes,3
10,1773281722,2026-03-11T19:15:22,55,45,yes,123
11,1773281722,2026-03-11T19:15:22,55,45,yes,8
12,1773281726,2026-03-11T19:15:26,55,45,yes,51
13,1773281726,2026-03-11T19:15:26,53,47,no,9
14,1773281726,2026-03-11T19:15:26,53,47,no,26
15,1773281737,2026-03-11T19:15:37,55,45,yes,135
16,1773281754,2026-03-11T19:15:54,55,45,yes,9
17,1773281761,2026-03-11T19:16:01,55,45,yes,8
18,1773281762,2026-03-11T19:16:02,55,45,yes,44
19,1773281775,2026-03-11T19:16:15,55,45,yes,17
20,1773281776,2026-03-11T19:16:16,55,45,yes,43
21,1773281777,2026-03-11T19:16:17,55,45,yes,100
22,1773281784,2026-03-11T19:16:24,55,45,yes,19
23,1773281785,2026-03-11T19:16:25,55,45,yes,529
24,1773281789,2026-03-11T19:16:29,55,45,yes,87
25,1773281804,2026-03-11T19:16:44,55,45,yes,43
26,1773281812,2026-03-11T19:16:52,55,45,yes,35
27,1773281813,2026-03-11T19:16:53,55,45,yes,131
28,1773281814,2026-03-11T19:16:54,55,45,yes,666
29,1773281837,2026-03-11T19:17:17,55,45,yes,77
30,1773281837,2026-03-11T19:17:17,55,45,yes,194
31,1773281837,2026-03-11T19:17:17,55,45,yes,87
32,1773281837,2026-03-11T19:17:17,55,45,yes,386
33,1773281837,2026-03-11T19:17:17,55,45,yes,130
34,1773281837,2026-03-11T19:17:17,55,45,yes,7
35,1773281854,2026-03-11T19:17:34,55,45,yes,46
36,1773281854,2026-03-11T19:17:34,55,45,yes,59
37,1773281862,2026-03-11T19:17:42,55,45,yes,1
38,1773281864,2026-03-11T19:17:44,55,45,yes,26
39,1773281865,2026-03-11T19:17:45,55,45,yes,1
40,1773281869,2026-03-11T19:17:49,55,45,yes,1
41,1773281872,2026-03-11T19:17:52,55,45,yes,34
42,1773281873,2026-03-11T19:17:53,55,45,yes,42
43,1773281874,2026-03-11T19:17:54,55,45,yes,439
44,1773281874,2026-03-11T19:17:54,55,45,yes,8
45,1773281876,2026-03-11T19:17:56,55,45,yes,2160
46,1773281879,2026-03-11T19:17:59,55,45,yes,246
47,1773281879,2026-03-11T19:17:59,55,45,yes,17
48,1773281887,2026-03-11T19:18:07,55,45,yes,1
49,1773281894,2026-03-11T19:18:14,55,45,yes,176
50,1773281903,2026-03-11T19:18:23,55,45,yes,45
51,1773281904,2026-03-11T19:18:24,55,45,yes,352
52,1773281913,2026-03-11T19:18:33,55,45,yes,8
53,1773281914,2026-03-11T19:18:34,55,45,yes,3070
54,1773281914,2026-03-11T19:18:34,55,45,yes,6
55,1773281914,2026-03-11T19:18:34,55,45,yes,283
56,1773281914,2026-03-11T19:18:34,55,45,yes,448
57,1773281914,2026-03-11T19:18:34,55,45,yes,477
58,1773281914,2026-03-11T19:18:34,55,45,yes,379
59,1773281914,2026-03-11T19:18:34,55,45,yes,258
60,1773281914,2026-03-11T19:18:34,55,45,yes,79
61,1773281914,2026-03-11T19:18:34,55,45,yes,1754
62,1773281915,2026-03-11T19:18:35,55,45,yes,43
63,1773281915,2026-03-11T19:18:35,55,45,yes,29
64,1773281924,2026-03-11T19:18:44,55,45,yes,88
65,1773281925,2026-03-11T19:18:45,55,45,yes,14
66,1773281929,2026-03-11T19:18:49,53,47,no,45
67,1773281931,2026-03-11T19:18:51,55,45,yes,100
68,1773281934,2026-03-11T19:18:54,55,45,yes,88
69,1773281937,2026-03-11T19:18:57,55,45,yes,218
70,1773281941,2026-03-11T19:19:01,55,45,yes,386
71,1773281948,2026-03-11T19:19:08,55,45,yes,21
72,1773281950,2026-03-11T19:19:10,55,45,yes,35
73,1773281950,2026-03-11T19:19:10,55,45,yes,17
74,1773281952,2026-03-11T19:19:12,55,45,yes,13
75,1773281975,2026-03-11T19:19:35,55,45,yes,100
76,1773281981,2026-03-11T19:19:41,55,45,yes,615
77,1773281981,2026-03-11T19:19:41,55,45,yes,385
78,1773281987,2026-03-11T19:19:47,55,45,yes,2500
79,1773281988,2026-03-11T19:19:48,55,45,yes,141
80,1773281994,2026-03-11T19:19:54,55,45,yes,26
81,1773281994,2026-03-11T19:19:54,55,45,yes,868
82,1773281994,2026-03-11T19:19:54,55,45,yes,132
83,1773281997,2026-03-11T19:19:57,55,45,yes,52
84,1773282002,2026-03-11T19:20:02,55,45,yes,12
85,1773282009,2026-03-11T19:20:09,55,45,yes,100
86,1773282014,2026-03-11T19:20:14,55,45,yes,26
87,1773282014,2026-03-11T19:20:14,55,45,yes,17
88,1773282014,2026-03-11T19:20:14,55,45,yes,43
89,1773282025,2026-03-11T19:20:25,53,47,no,200
90,1773282031,2026-03-11T19:20:31,55,45,yes,16
91,1773282033,2026-03-11T19:20:33,55,45,yes,50
92,1773282034,2026-03-11T19:20:34,55,45,yes,104
