Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1,1773272702,2026-03-11T16:45:02,57,43,yes,85
2,1773272710,2026-03-11T16:45:10,57,43,yes,17
3,1773272712,2026-03-11T16:45:12,57,43,yes,8
4,1773272726,2026-03-11T16:45:26,57,43,yes,9
5,1773272756,2026-03-11T16:45:56,56,44,no,53
6,1773272761,2026-03-11T16:46:01,57,43,yes,20
7,1773272764,2026-03-11T16:46:04,57,43,yes,59
8,1773272777,2026-03-11T16:46:17,57,43,yes,221
9,1773272781,2026-03-11T16:46:21,57,43,yes,16
10,1773272786,2026-03-11T16:46:26,57,43,yes,25
11,1773272801,2026-03-11T16:46:41,57,43,yes,20
12,1773272808,2026-03-11T16:46:48,56,44,no,6
13,1773272809,2026-03-11T16:46:49,57,43,yes,22
14,1773272809,2026-03-11T16:46:49,56,44,no,4
15,1773272813,2026-03-11T16:46:53,56,44,no,20
16,1773272813,2026-03-11T16:46:53,57,43,yes,6
17,1773272817,2026-03-11T16:46:57,57,43,yes,16
18,1773272822,2026-03-11T16:47:02,57,43,yes,1
19,1773272832,2026-03-11T16:47:12,57,43,yes,17
20,1773272838,2026-03-11T16:47:18,57,43,yes,8
21,1773272842,2026-03-11T16:47:22,57,43,yes,2
22,1773272851,2026-03-11T16:47:31,57,43,yes,13
23,1773272856,2026-03-11T16:47:36,57,43,yes,593
24,1773272861,2026-03-11T16:47:41,57,43,yes,84
25,1773272886,2026-03-11T16:48:06,57,43,yes,170
26,1773272897,2026-03-11T16:48:17,57,43,yes,8
27,1773272913,2026-03-11T16:48:33,57,43,yes,84
28,1773272920,2026-03-11T16:48:40,56,44,no,11
29,1773272927,2026-03-11T16:48:47,57,43,yes,25
30,1773272933,2026-03-11T16:48:53,57,43,yes,85
31,1773272936,2026-03-11T16:48:56,57,43,yes,983
32,1773272939,2026-03-11T16:48:59,57,43,yes,25
33,1773272946,2026-03-11T16:49:06,57,43,yes,34
34,1773272952,2026-03-11T16:49:12,57,43,yes,500
35,1773272962,2026-03-11T16:49:22,57,43,yes,70
36,1773272963,2026-03-11T16:49:23,57,43,yes,50
37,1773272976,2026-03-11T16:49:36,57,43,yes,1
38,1773272977,2026-03-11T16:49:37,57,43,yes,170
39,1773272987,2026-03-11T16:49:47,57,43,yes,500
40,1773272990,2026-03-11T16:49:50,57,43,yes,2
41,1773272996,2026-03-11T16:49:56,57,43,yes,37
42,1773273004,2026-03-11T16:50:04,57,43,yes,1703
43,1773273011,2026-03-11T16:50:11,57,43,yes,30
44,1773273016,2026-03-11T16:50:16,57,43,yes,1
45,1773273036,2026-03-11T16:50:36,57,43,yes,10
46,1773273042,2026-03-11T16:50:42,57,43,yes,17
47,1773273045,2026-03-11T16:50:45,56,44,no,22
48,1773273047,2026-03-11T16:50:47,57,43,yes,20
49,1773273049,2026-03-11T16:50:49,57,43,yes,33
50,1773273057,2026-03-11T16:50:57,57,43,yes,67
51,1773273058,2026-03-11T16:50:58,57,43,yes,110
52,1773273060,2026-03-11T16:51:00,57,43,yes,162
53,1773273065,2026-03-11T16:51:05,57,43,yes,31
54,1773273068,2026-03-11T16:51:08,57,43,yes,8
55,1773273068,2026-03-11T16:51:08,57,43,yes,16
56,1773273069,2026-03-11T16:51:09,57,43,yes,8
57,1773273074,2026-03-11T16:51:14,57,43,yes,169
58,1773273074,2026-03-11T16:51:14,57,43,yes,7
59,1773273084,2026-03-11T16:51:24,57,43,yes,169
60,1773273093,2026-03-11T16:51:33,57,43,yes,16
